[2019-08-08 17:32:16] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:17] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:18] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:19] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:20] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:21] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:22] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:23] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:24] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:25] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:26] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:27] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:28] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:29] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:30] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:31] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:32] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:33] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:34] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:35] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:36] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:37] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:38] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:39] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:40] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:41] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:42] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:43] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:44] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:45] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:46] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:47] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:48] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:49] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:50] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:51] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:52] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:53] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:54] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:55] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:56] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:57] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:58] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:32:59] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:00] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:01] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:02] Debug: [] [0] memory total: 835472   app used: 36668
[2019-08-08 17:33:03] Debug: [] [0] memory total: 835472   app used: 36668
